id,type,source_type,title,source_owner,year,url_or_reference,claim_supported,confidence,notes
evidence_densenet_author_repo,EvidenceSource,OfficialCode,DenseNet Authors' Training Repository,"Gao Huang and Zhuang Liu",2017,https://github.com/liuzhuang13/DenseNet,"Authors' LuaTorch repository with a DenseNet-121 ImageNet example command, four-GPU setup, batch size 256, 90 epochs, memory optimization mode, and training defaults.",High,"Use as original implementation and checkpoint-provenance context. Do not claim it is the exact command that produced TorchVision's currently evaluated port unless a source establishes that link; GPU model and memory are unspecified."
evidence_torchvision_densenet121_docs,EvidenceSource,OfficialDocs,Torchvision DenseNet-121 Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models/generated/torchvision.models.densenet121.html,"Official documentation for the single DenseNet121 ImageNet-1K V1/DEFAULT weight set, benchmark accuracy, parameters, GFLOPs, file size, and inference transforms.",High,"Use for TorchVision DenseNet121 benchmark, preprocessing, and pretrained-weight facts."
evidence_torchvision_densenet_source,EvidenceSource,OfficialCode,Torchvision DenseNet Source Code,Torch Contributors,2026,https://github.com/pytorch/vision/blob/main/torchvision/models/densenet.py,"Official implementation showing the model.classifier head, memory_efficient checkpointing option, ported LuaTorch weight provenance, benchmark metadata, and DEFAULT alias.",High,"Use for DenseNet121 classifier replacement, memory guidance, benchmark provenance, and pretrained-weight selection."
evidence_convnext_paper,EvidenceSource,PeerReviewedPaper,A ConvNet for the 2020s,"Zhuang Liu, Hanzi Mao, Chao-Yuan Wu, Christoph Feichtenhofer, Trevor Darrell, Saining Xie",2022,https://arxiv.org/abs/2201.03545,"CVPR paper introducing the ConvNeXt architecture and reporting ImageNet classification results and scaling behavior.",High,"Use for ConvNeXt architecture provenance; use TorchVision sources for the improved TorchVision checkpoint and its metrics."
evidence_torchvision_convnext_tiny_docs,EvidenceSource,OfficialDocs,Torchvision ConvNeXt Tiny Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models/generated/torchvision.models.convnext_tiny.html,"Official documentation for the single ConvNeXt Tiny ImageNet-1K V1/DEFAULT weight set, top-1/top-5 accuracy, parameters, GFLOPs, file size, preprocessing, and recipe link.",High,"Use for executable pretrained-weight facts, evaluation transforms, and benchmark values."
evidence_torchvision_convnext_source,EvidenceSource,OfficialCode,Torchvision ConvNeXt Source Code,Torch Contributors,2026,https://github.com/pytorch/vision/blob/main/torchvision/models/convnext.py,"Official implementation showing classifier[2] as the final Linear layer, ConvNeXt Tiny stochastic-depth default, weight metadata, exact recipe link, metrics, transforms, and DEFAULT alias.",High,"Use for classifier replacement, architecture-specific defaults, benchmark provenance, and pretrained-weight selection."
evidence_pytorch_resnet50_sota_recipe,EvidenceSource,OfficialBlog,How to Train State-Of-The-Art Models Using TorchVision Latest Primitives,PyTorch,2024,https://pytorch.org/blog/how-to-train-state-of-the-art-models-using-torchvision-latest-primitives/,"PyTorch blog describing the TorchVision ResNet50 V2 ImageNet recipe, 80.858 top-1 result, 8-GPU training command, cosine schedule, warmup, label smoothing, mixup, cutmix, auto augmentation, random erasing, repeated augmentation, EMA, and resize/crop settings.",High,"Use for ResNet50 V2 recipe, benchmark linkage, and accuracy-first training rules."
evidence_pytorch_transfer_learning_tutorial,EvidenceSource,OfficialDocs,PyTorch Transfer Learning for Computer Vision Tutorial,PyTorch,2025,https://docs.pytorch.org/tutorials/beginner/transfer_learning_tutorial.html,"Official PyTorch tutorial explaining image-classification transfer learning, full fine-tuning from ImageNet pretrained weights, fixed-feature extraction by freezing the backbone, replacing the final classifier layer, SGD with momentum, StepLR, and 25-epoch example training.",High,Use for custom image-classification fine-tuning patterns. Architecture-specific classifier field names should be verified from the relevant TorchVision model source.
evidence_nvidia_resnet50_pytorch,EvidenceSource,OfficialCode,NVIDIA DeepLearningExamples ResNet50 v1.5 PyTorch,NVIDIA,2026,https://github.com/NVIDIA/DeepLearningExamples/tree/master/PyTorch/Classification/ConvNets,NVIDIA ResNet50 v1.5 PyTorch implementation and benchmark tables with ImageNet validation accuracy and training throughput on DGX A100 and DGX-1 V100 systems.,High,Use for supplemental ResNet50 benchmark hardware and throughput rows.
evidence_mobilenetv3_paper,EvidenceSource,PeerReviewedPaper,Searching for MobileNetV3,Andrew Howard et al.,2019,https://arxiv.org/abs/1905.02244,Foundational MobileNetV3 paper introducing MobileNetV3 Large and Small architectures for efficient mobile image classification.,High,Use for MobileNetV3 model-family and architecture facts.
evidence_torchvision_mobilenetv3_large_docs,EvidenceSource,OfficialDocs,Torchvision MobileNetV3 Large Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models/generated/torchvision.models.mobilenet_v3_large.html,"Official TorchVision documentation for MobileNetV3 Large pretrained weights, ImageNet-1K top-1/top-5 accuracy, parameter count, GFLOPs, preprocessing transforms, and recipe links.",High,"Use for MobileNetV3 Large Model, ModelBenchmarkResult, preprocessing, and source-backed metric values."
evidence_torchvision_mobilenetv3_small_docs,EvidenceSource,OfficialDocs,Torchvision MobileNetV3 Small Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models/generated/torchvision.models.mobilenet_v3_small.html,"Official TorchVision documentation for MobileNetV3 Small pretrained weights, ImageNet-1K top-1/top-5 accuracy, parameter count, GFLOPs, preprocessing transforms, and recipe link.",High,"Use for MobileNetV3 Small Model, ModelBenchmarkResult, preprocessing, and source-backed metric values."
evidence_torchvision_mobilenetv3_v2_recipe_issue,EvidenceSource,OfficialIssue,TorchVision Classification Recipe Issue 3995,Torch Contributors,2021,https://github.com/pytorch/vision/issues/3995,TorchVision issue linked by MobileNetV3 Large V2 weights showing the MobileNetV3 Large new recipe with regularization tuning and the 75.274 top-1 / 92.566 top-5 ImageNet result.,High,Use for MobileNetV3 Large V2 training recipe and benchmark linkage.
evidence_torchvision_mobilenetv3_source,EvidenceSource,OfficialCode,Torchvision MobileNetV3 Source Code,Torch Contributors,2026,https://github.com/pytorch/vision/blob/main/torchvision/models/mobilenetv3.py,"Official TorchVision MobileNetV3 implementation showing features, classifier sequential head, final Linear layer, dropout default, num_classes handling, pretrained weight metadata, and recipe URLs.",High,Use for MobileNetV3 custom classifier replacement and fine-tuning adjustment rules.
evidence_yosinski_transferability,EvidenceSource,PeerReviewedPaper,How transferable are features in deep neural networks?,"Jason Yosinski, Jeff Clune, Yoshua Bengio, Hod Lipson",2014,https://arxiv.org/abs/1411.1792,"NeurIPS paper studying transferability of CNN features, showing lower layers are more general, upper layers are more task-specific, and transferability declines as source/target task distance increases.",High,Use for domain-shift and layer-freezing adjustment rules in image-classification transfer learning.
evidence_li_rethinking_finetuning_hyperparams,EvidenceSource,PeerReviewedPaper,Rethinking the Hyperparameters for Fine-tuning,"Hao Li, Pratik Chaudhari, Hao Yang, Michael Lam, Avinash Ravichandran, Rahul Bhotika, Stefano Soatto",2020,https://arxiv.org/abs/2002.11770,"ICLR paper showing that fine-tuning hyperparameters should not simply reuse training-from-scratch defaults and that effective learning rate depends on dataset and source/target domain similarity.",High,Use for fine-tuning LR/momentum/search-space adjustment rules.
evidence_lee_surgical_finetuning,EvidenceSource,PeerReviewedPaper,Surgical Fine-Tuning Improves Adaptation to Distribution Shifts,"Yoonho Lee, Annie S. Chen, Fahim Tajwar, Ananya Kumar, Huaxiu Yao, Percy Liang, Chelsea Finn",2023,https://arxiv.org/abs/2210.11466,"ICLR paper showing that distribution-shift type affects which layers should be tuned and that tuning more parameters on small target datasets can forget pretraining information.",High,Use for domain-shift and small-target-dataset layer-freezing adjustment rules.
evidence_cs231n_transfer_learning_notes,EvidenceSource,CourseNotes,CS231n Transfer Learning Notes,Stanford CS231n,2026,https://cs231n.github.io/transfer-learning/,"Stanford CS231n notes summarizing practical transfer-learning scenarios based on target dataset size and similarity to the original dataset.",Medium,Use as practical guidance for dataset-size/domain-similarity rules; prefer peer-reviewed sources when they conflict.
evidence_ultralytics_augmentation_docs,EvidenceSource,OfficialDocs,Ultralytics YOLO Data Augmentation Guide,Ultralytics,2026,https://docs.ultralytics.com/guides/yolo-data-augmentation/,"Official Ultralytics guide for object-detection augmentation hyperparameters including mosaic, mixup, cutmix, copy_paste, rotation, flipping, and rare-class copy-paste use cases.",High,Use for YOLO object-detection augmentation adjustment rules.
evidence_torchvision_retinanet_source,EvidenceSource,OfficialCode,Torchvision RetinaNet Source Code,Torch Contributors,2026,https://github.com/pytorch/vision/blob/main/torchvision/models/detection/retinanet.py,"Official TorchVision RetinaNet implementation showing score_thresh, nms_thresh, detections_per_img, fg/bg IoU thresholds, and topk_candidates defaults and filtering behavior.",High,Use for RetinaNet post-processing and matching hyperparameter adjustment rules.
evidence_torchvision_fasterrcnn_source,EvidenceSource,OfficialCode,Torchvision Faster R-CNN Source Code,Torch Contributors,2026,https://github.com/pytorch/vision/blob/main/torchvision/models/detection/faster_rcnn.py,"Official TorchVision Faster R-CNN implementation showing RPN proposal counts, RPN NMS/IoU thresholds, ROI score/NMS thresholds, detections_per_img, and sampler defaults.",High,Use for Faster R-CNN proposal and post-processing hyperparameter adjustment rules.
evidence_efficientnet_paper,EvidenceSource,PeerReviewedPaper,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,"Mingxing Tan, Quoc V. Le",2019,https://arxiv.org/abs/1905.11946,"ICML paper introducing EfficientNet B0-B7, compound scaling of width/depth/resolution, ImageNet top-1/top-5 validation and test results, parameter/FLOP efficiency, and transfer-learning performance.",High,"Use for EfficientNet model-family provenance, scaling/variant rules, and original ImageNet benchmark context."
evidence_torchvision_efficientnet_docs,EvidenceSource,OfficialDocs,TorchVision EfficientNet Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models.html,"Official TorchVision model and pretrained-weight documentation listing EfficientNet B0-B7 ImageNet-1K acc@1/acc@5, parameter counts, GFLOPs, recipe links, and per-weight preprocessing transforms.",High,"Use for EfficientNet model rows, benchmark rows, preprocessing rules, and recipe linkage."
evidence_tensorflow_tpu_efficientnet_repo,EvidenceSource,OfficialCode,TensorFlow TPU EfficientNet Official Repository,Google Research,2026,https://github.com/tensorflow/tpu/tree/master/models/official/efficientnet,"Official TensorFlow TPU EfficientNet code and README with pretrained checkpoints, ImageNet training/evaluation setup, AutoAugment/RandAugment options, feature-extractor endpoints, and Cloud TPU training instructions.",High,"Use for EfficientNet ImageNet training recipe, Cloud TPU hardware profile, augmentation rules, and feature-extractor facts."
evidence_vit_paper,EvidenceSource,PeerReviewedPaper,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Sylvain Gelly, Jakob Uszkoreit, Neil Houlsby",2021,https://arxiv.org/abs/2010.11929,"ICLR paper introducing Vision Transformer image classifiers, patch-token architecture, large-scale pretraining and transfer-learning evaluation.",High,"Use for ViT-B-16 architecture provenance and transfer-learning context."
evidence_torchvision_vit_b16_docs,EvidenceSource,OfficialDocs,TorchVision ViT-B-16 Documentation,Torch Contributors,2026,https://docs.pytorch.org/vision/main/models/generated/torchvision.models.vit_b_16.html,"Official TorchVision documentation for ViT-B-16 pretrained weights, ImageNet-1K acc@1/acc@5, parameter count, GFLOPs, preprocessing transforms, and recipe links.",High,"Use for ViT-B-16 model rows, benchmark rows, preprocessing, and metric values."
evidence_torchvision_vit_source,EvidenceSource,OfficialCode,TorchVision Vision Transformer Source Code,Torch Contributors,2026,https://github.com/pytorch/vision/blob/main/torchvision/models/vision_transformer.py,"Official TorchVision Vision Transformer implementation and weight metadata showing ViT-B-16 classifier head structure, pretrained weight metrics, SWAG weight metadata, transforms, and positional-embedding interpolation helper.",High,"Use for ViT-B-16 classifier replacement, SWAG benchmark metadata, and resolution-change adjustment rules."
