id,type,model_id,precision_mode,batch_size,context_tokens_for_kv,params_m,flops_b,weight_memory_gb,activation_workspace_gb,kv_cache_gb,runtime_overhead_gb,total_estimated_vram_gb,practical_min_vram_gb,recommended_hardware_category,recommended_hardware_profile,calculation_method,confidence,evidence_ids,notes
infer_mem_yolo11n,ModelInferenceMemoryEstimate,yolo11n,FP16,1,,2.6,6.5,0.005,0.250,0.000,0.001,0.256,1.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolo11_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolo11s,ModelInferenceMemoryEstimate,yolo11s,FP16,1,,9.4,21.5,0.018,0.250,0.000,0.004,0.272,1.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolo11_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolo11m,ModelInferenceMemoryEstimate,yolo11m,FP16,1,,20.1,68,0.037,0.340,0.000,0.007,0.384,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolo11_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolo11l,ModelInferenceMemoryEstimate,yolo11l,FP16,1,,25.3,86.9,0.047,0.435,0.000,0.009,0.491,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolo11_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolo11x,ModelInferenceMemoryEstimate,yolo11x,FP16,1,,56.9,194.9,0.106,0.975,0.000,0.021,1.102,2.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolo11_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolo12n,ModelInferenceMemoryEstimate,yolo12n,FP16,1,,2.6,6.5,0.005,0.250,0.000,0.001,0.256,1.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolo12_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolo12s,ModelInferenceMemoryEstimate,yolo12s,FP16,1,,9.3,21.4,0.017,0.250,0.000,0.003,0.270,1.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolo12_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolo12m,ModelInferenceMemoryEstimate,yolo12m,FP16,1,,20.2,67.5,0.038,0.338,0.000,0.008,0.384,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolo12_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolo12l,ModelInferenceMemoryEstimate,yolo12l,FP16,1,,26.4,88.9,0.049,0.445,0.000,0.010,0.504,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolo12_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_yolo12x,ModelInferenceMemoryEstimate,yolo12x,FP16,1,,59.1,199,0.110,0.995,0.000,0.022,1.127,2.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ultralytics_yolo12_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_rtdetr_r18,ModelInferenceMemoryEstimate,rtdetr_r18,FP16,1,,20,60,0.037,0.360,0.000,0.007,0.404,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_rtdetr_official_repo|evidence_rtdetr_paper,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_rtdetr_r34,ModelInferenceMemoryEstimate,rtdetr_r34,FP16,1,,31,92,0.058,0.552,0.000,0.012,0.622,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_rtdetr_official_repo|evidence_rtdetr_paper,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_rtdetr_r50_m,ModelInferenceMemoryEstimate,rtdetr_r50_m,FP16,1,,36,100,0.067,0.600,0.000,0.013,0.680,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_rtdetr_official_repo|evidence_rtdetr_paper,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_rtdetr_r50,ModelInferenceMemoryEstimate,rtdetr_r50,FP16,1,,42,136,0.078,0.816,0.000,0.016,0.910,2.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_rtdetr_official_repo|evidence_rtdetr_paper,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_rtdetr_r101,ModelInferenceMemoryEstimate,rtdetr_r101,FP16,1,,76,259,0.142,1.554,0.000,0.028,1.724,4.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_rtdetr_official_repo|evidence_rtdetr_paper,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_rtdetr_hgnetv2_l,ModelInferenceMemoryEstimate,rtdetr_hgnetv2_l,FP16,1,,32,110,0.060,0.660,0.000,0.012,0.732,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_rtdetr_official_repo,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_rtdetr_hgnetv2_x,ModelInferenceMemoryEstimate,rtdetr_hgnetv2_x,FP16,1,,67,234,0.125,1.404,0.000,0.025,1.554,2.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_flashattention_paper|evidence_hf_accelerate_model_memory_estimator|evidence_rtdetr_official_repo,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_retinanet_resnet50_fpn,ModelInferenceMemoryEstimate,retinanet_resnet50_fpn,FP16,1,,34.015,151.54,0.063,0.758,0.000,0.013,0.834,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_lin_focal_loss|evidence_torchvision_retinanet_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_fasterrcnn_resnet50_fpn,ModelInferenceMemoryEstimate,fasterrcnn_resnet50_fpn,FP16,1,,41.755,134.38,0.078,0.672,0.000,0.016,0.766,1.0,ConsumerGPU,Single 4GB+ consumer GPU recommended for latency; CPU possible but slower,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_faster_rcnn_paper|evidence_hf_accelerate_model_memory_estimator|evidence_torchvision_fasterrcnn_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_ssd300_vgg16,ModelInferenceMemoryEstimate,ssd300_vgg16,FP16,1,,35.642,34.86,0.066,0.250,0.000,0.013,0.329,1.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_ssd_paper|evidence_torchvision_ssd_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_resnet50,ModelInferenceMemoryEstimate,resnet50,FP16,1,,25.557,4.09,0.048,0.050,0.000,0.010,0.108,1.0,ConsumerCPU,Consumer CPU feasible; small consumer GPU improves latency,Analytical: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; KV cache = batch * context_tokens * layers * kv_heads * head_dim * 2 * dtype_bytes; activation workspace estimated from architecture/input-size class and FLOPs where available.,Medium,evidence_hf_accelerate_model_memory_estimator|evidence_pytorch_transfer_learning_tutorial|evidence_resnet_paper|evidence_torchvision_resnet50_docs,KV cache is 0 because this is non-autoregressive image inference or feature extraction.
infer_mem_densenet121,ModelInferenceMemoryEstimate,densenet121,FP32,1,,7.978856,2.834,0.030,0.100,0.000,0.006,0.136,1.0,ConsumerCPU,Consumer CPU feasible; consumer GPU improves training and inference latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_densenet_paper|evidence_hf_accelerate_model_memory_estimator|evidence_torchvision_densenet121_docs|evidence_torchvision_densenet_source,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; this inference estimate does not represent training memory; KV cache is 0.
infer_mem_convnext_tiny,ModelInferenceMemoryEstimate,convnext_tiny,FP32,1,,28.589128,4.456,0.107,0.100,0.000,0.021,0.228,1.0,ConsumerCPU,Consumer CPU feasible; consumer GPU improves training and inference latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_convnext_paper|evidence_hf_accelerate_model_memory_estimator|evidence_torchvision_convnext_tiny_docs|evidence_torchvision_convnext_source,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; this inference estimate does not represent training memory; KV cache is 0.
infer_mem_mobilenet_v2,ModelInferenceMemoryEstimate,mobilenet_v2,FP32,1,,3.504872,0.301,0.013,0.100,0.000,0.003,0.116,1.0,EdgeDevice,Edge accelerator or consumer CPU; GPU optional for latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_hf_accelerate_model_memory_estimator|evidence_mobilenetv2_paper|evidence_torchvision_mobilenetv2_docs|evidence_torchvision_mobilenetv2_source,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; KV cache is 0 for non-autoregressive image inference.
infer_mem_mobilenet_v3_large,ModelInferenceMemoryEstimate,mobilenet_v3_large,FP32,1,,5.483,0.22,0.020,0.100,0.000,0.004,0.124,1.0,EdgeDevice,Edge accelerator or consumer CPU; GPU optional for latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_hf_accelerate_model_memory_estimator|evidence_mobilenetv3_paper|evidence_torchvision_mobilenetv3_large_docs|evidence_torchvision_mobilenetv3_source,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; KV cache is 0 for non-autoregressive image inference.
infer_mem_mobilenet_v3_small,ModelInferenceMemoryEstimate,mobilenet_v3_small,FP32,1,,2.543,0.06,0.009,0.100,0.000,0.002,0.111,1.0,EdgeDevice,Edge accelerator or consumer CPU; GPU optional for latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_hf_accelerate_model_memory_estimator|evidence_mobilenetv3_paper|evidence_torchvision_mobilenetv3_small_docs|evidence_torchvision_mobilenetv3_source,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; KV cache is 0 for non-autoregressive image inference.
infer_mem_efficientnet_b0,ModelInferenceMemoryEstimate,efficientnet_b0,FP32,1,,5.289,0.39,0.020,0.100,0.000,0.004,0.124,1.0,EdgeDevice,Edge accelerator or consumer CPU; GPU optional for latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_efficientnet_paper|evidence_hf_accelerate_model_memory_estimator|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo|evidence_torchvision_efficientnet_docs,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; KV cache is 0 for non-autoregressive image inference.
infer_mem_efficientnet_b1,ModelInferenceMemoryEstimate,efficientnet_b1,FP32,1,,7.794,0.69,0.029,0.100,0.000,0.006,0.135,1.0,EdgeDevice,Edge accelerator or consumer CPU; GPU optional for latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_efficientnet_paper|evidence_hf_accelerate_model_memory_estimator|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo|evidence_torchvision_efficientnet_docs,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; KV cache is 0 for non-autoregressive image inference.
infer_mem_efficientnet_b2,ModelInferenceMemoryEstimate,efficientnet_b2,FP32,1,,9.11,1.09,0.034,0.100,0.000,0.007,0.141,1.0,EdgeDevice,Edge accelerator or consumer CPU; GPU optional for latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_efficientnet_paper|evidence_hf_accelerate_model_memory_estimator|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo|evidence_torchvision_efficientnet_docs,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; KV cache is 0 for non-autoregressive image inference.
infer_mem_efficientnet_b3,ModelInferenceMemoryEstimate,efficientnet_b3,FP32,1,,12.233,1.83,0.046,0.100,0.000,0.009,0.155,1.0,EdgeDevice,Edge accelerator or consumer CPU; GPU optional for latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_efficientnet_paper|evidence_hf_accelerate_model_memory_estimator|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo|evidence_torchvision_efficientnet_docs,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; KV cache is 0 for non-autoregressive image inference.
infer_mem_efficientnet_b4,ModelInferenceMemoryEstimate,efficientnet_b4,FP32,1,,19.342,4.39,0.072,0.100,0.000,0.014,0.186,1.0,ConsumerCPU,Consumer CPU feasible; consumer GPU recommended for training and lower latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_efficientnet_paper|evidence_hf_accelerate_model_memory_estimator|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo|evidence_torchvision_efficientnet_docs,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; this inference estimate does not represent training memory; KV cache is 0.
infer_mem_efficientnet_b5,ModelInferenceMemoryEstimate,efficientnet_b5,FP32,1,,30.39,10.27,0.113,0.205,0.000,0.023,0.341,1.0,ConsumerCPU,Consumer CPU feasible for inference; consumer GPU recommended for training and latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_efficientnet_paper|evidence_hf_accelerate_model_memory_estimator|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo|evidence_torchvision_efficientnet_docs,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; this inference estimate does not represent training memory; KV cache is 0.
infer_mem_efficientnet_b6,ModelInferenceMemoryEstimate,efficientnet_b6,FP32,1,,43.041,19.07,0.160,0.381,0.000,0.032,0.573,1.0,ConsumerCPU,Consumer CPU feasible for inference; capable GPU recommended for training and latency,"Analytical for the current FP32 executor: weight memory = params * precision bytes; runtime overhead = 20% of weight memory; classification-CNN activation workspace uses the explicit local maximum of 0.10 GiB and 0.02 GiB per GFLOP at batch size one.",Medium,evidence_efficientnet_paper|evidence_hf_accelerate_model_memory_estimator|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo|evidence_torchvision_efficientnet_docs,Parameter count and GFLOPs are sourced from TorchVision. Activation workspace and the 1GB practical minimum are conservative application policies rather than measured hardware requirements; this inference estimate does not represent training memory; KV cache is 0.
