source_id,relation,target_id,evidence_id,confidence,notes
mnist_cls_test,in_domain,domain_handwritten_documents,evidence_mnist_database,High,MNIST is handwritten digit data.
mnist_cls_train,in_domain,domain_handwritten_documents,evidence_mnist_database,High,MNIST is handwritten digit data.
objects365_det_val,in_domain,domain_general_everyday_objects,evidence_objects365_dataset,High,Objects365 is broad object-detection data.
openimages_challenge_2019_det_train,in_domain,domain_general_everyday_objects,evidence_openimages_challenge_2019,High,Open Images Challenge includes object detection.
voc0712_det_val,in_domain,domain_general_everyday_objects,evidence_pascal_voc_official,High,PASCAL VOC is general object-recognition data.
voc07_det_test,in_domain,domain_general_everyday_objects,evidence_pascal_voc_official,High,PASCAL VOC is general object-recognition data.
voc07_det_val,in_domain,domain_general_everyday_objects,evidence_pascal_voc_official,High,PASCAL VOC is general object-recognition data.
voc12_det_train,in_domain,domain_general_everyday_objects,evidence_pascal_voc_official,High,PASCAL VOC is general object-recognition data.
voc12_det_val,in_domain,domain_general_everyday_objects,evidence_pascal_voc_official,High,PASCAL VOC is general object-recognition data.
voc12_inseg_train,in_domain,domain_general_everyday_objects,evidence_pascal_voc_official,High,PASCAL VOC is general object-recognition data.
domain_street_autonomous_driving,has_representative_dataset,bdd_100k_det_train,evidence_bdd100k_paper,High,BDD100K detection train is a representative driving-domain detection split.
domain_street_autonomous_driving,has_representative_dataset,cityscapes_det_val,evidence_cityscapes_paper,High,Cityscapes detection validation is a representative urban street-scene split.
domain_general_everyday_objects,has_representative_dataset,coco2017_det_val,evidence_coco_paper,High,COCO 2017 detection validation is a representative common-object detection split.
domain_general_everyday_objects,has_representative_dataset,imageNet-1K_cls_val,evidence_imagenet_paper,High,ImageNet-1K classification validation is a representative broad image-classification split.
domain_traffic_surveillance,has_representative_dataset,UA-DETRAC_det,evidence_ua_detrac_paper,High,UA-DETRAC detection is a representative traffic surveillance dataset.
domain_fine_grained_wildlife_nature,has_representative_dataset,CUB-200-2011_cls_train,evidence_cub200_2011_dataset,High,CUB-200-2011 classification train is a representative fine-grained bird split.
domain_fine_grained_vehicles,has_representative_dataset,cars196_cls_train,evidence_fine_grained_vehicle_eval,High,Cars196 classification train is a representative fine-grained vehicle split.
domain_ecommerce_retail,has_representative_dataset,SOP_cls_train,evidence_sop_dataset,Medium,Stanford Online Products train is a representative product-image classification split.
domain_handwritten_documents,has_representative_dataset,mnist_cls_train,evidence_mnist_database,High,MNIST classification train is a representative handwritten digit split.
rule_domain_autonomous_driving_realtime_detector,conditioned_on_domain,domain_street_autonomous_driving,evidence_bdd100k_paper,Medium,Manual edge linking domain-specific model-selection rule to the autonomous-driving domain node.
rule_domain_autonomous_driving_dataset_alignment,conditioned_on_domain,domain_street_autonomous_driving,evidence_bdd100k_paper,High,Manual edge linking dataset-alignment rule to the autonomous-driving domain node.
rule_domain_general_objects_performance_first,conditioned_on_domain,domain_general_everyday_objects,evidence_coco_paper,Medium,Manual edge linking generic-domain selection rule to the general everyday objects domain node.
rule_domain_traffic_surveillance_video_detector,conditioned_on_domain,domain_traffic_surveillance,evidence_ua_detrac_paper,Medium,Manual edge linking video-friendly detector rule to the traffic surveillance domain node.
rule_domain_traffic_surveillance_offline_accuracy_detector,conditioned_on_domain,domain_traffic_surveillance,evidence_ua_detrac_paper,Medium,Manual edge linking offline analysis detector rule to the traffic surveillance domain node.
rule_domain_fine_grained_wildlife_stronger_classifier,conditioned_on_domain,domain_fine_grained_wildlife_nature,evidence_inaturalist_paper,Medium,Manual edge linking stronger-classifier rule to the fine-grained wildlife nature domain node.
rule_domain_fine_grained_wildlife_handle_long_tail,conditioned_on_domain,domain_fine_grained_wildlife_nature,evidence_inaturalist_paper,High,Manual edge linking imbalance rule to the fine-grained wildlife nature domain node.
rule_domain_fine_grained_vehicles_stronger_classifier,conditioned_on_domain,domain_fine_grained_vehicles,evidence_stanford_cars_dataset,Medium,Manual edge linking stronger-classifier rule to the fine-grained vehicles domain node.
rule_domain_ecommerce_clean_catalog_efficient_classifier,conditioned_on_domain,domain_ecommerce_retail,evidence_deepfashion2_paper,Medium,Manual edge linking catalog-classifier rule to the e-commerce retail domain node.
rule_domain_ecommerce_shelf_detection_dense_objects,conditioned_on_domain,domain_ecommerce_retail,evidence_deepfashion2_paper,Medium,Manual edge linking dense-scene detector rule to the e-commerce retail domain node.
rule_domain_handwritten_documents_prefer_ocr_vqa_when_reading,conditioned_on_domain,domain_handwritten_documents,evidence_iam_handwriting_database,Medium,Manual edge linking OCR/VQA framing rule to the handwritten documents domain node.
rule_domain_handwritten_documents_avoid_label_changing_geometry,conditioned_on_domain,domain_handwritten_documents,evidence_mnist_database,High,Manual edge linking label-sensitive augmentation rule to the handwritten documents domain node.
