id,type,task,model_name,model_family,architecture_type,pretrained_available,fine_tuning_supported,lora_supported,quantization_supported,model_size_category,latency_category,accuracy_category,limitations,evidence_ids,incompatible_training_backends
rtdetr_r50_m,Model,object_detection,RT-DETR-R50-m,RT-DETR,EndToEndTransformerDetector,true,true,unknown,unknown,Medium,Low,High,Scaled RT-DETR-R50 variant; lower AP than full RT-DETR-R50 but higher FPS.,evidence_rtdetr_paper|evidence_rtdetr_official_repo,
rtdetr_r50,Model,object_detection,RT-DETR-R50,RT-DETR,EndToEndTransformerDetector,true,true,unknown,unknown,Large,MediumHigh,VeryHigh,NMS-free end-to-end detector with strong COCO accuracy and real-time T4 TensorRT FP16 throughput.,evidence_rtdetr_paper|evidence_rtdetr_official_repo,
rtdetr_r101,Model,object_detection,RT-DETR-R101,RT-DETR,EndToEndTransformerDetector,true,true,unknown,unknown,XLarge,High,VeryHigh,Higher AP than RT-DETR-R50 with substantially more parameters and lower FPS.,evidence_rtdetr_paper|evidence_rtdetr_official_repo,
rtdetr_hgnetv2_l,Model,object_detection,RT-DETR-HGNetv2-L,RT-DETR,EndToEndTransformerDetector,true,true,unknown,unknown,Large,MediumHigh,VeryHigh,HGNetv2 backbone RT-DETR variant from the official model table.,evidence_rtdetr_official_repo,
rtdetr_hgnetv2_x,Model,object_detection,RT-DETR-HGNetv2-X,RT-DETR,EndToEndTransformerDetector,true,true,unknown,unknown,XLarge,High,VeryHigh,Highest AP among listed RT-DETR variants in the official model table but with larger compute cost.,evidence_rtdetr_official_repo,
retinanet_resnet50_fpn,Model,object_detection,RetinaNet ResNet-50 FPN,RetinaNet,OneStageAnchorDetector,true,true,unknown,unknown,Large,MediumHigh,MediumHigh,Anchor-based one-stage detector using a ResNet-50-FPN backbone and focal loss; lower COCO accuracy than newer high-end YOLO/RT-DETR variants and Torchvision detection APIs are beta.,evidence_torchvision_retinanet_docs|evidence_lin_focal_loss,
fasterrcnn_resnet50_fpn,Model,object_detection,Faster R-CNN ResNet-50 FPN,Faster R-CNN,TwoStageRegionProposalDetector,true,true,unknown,unknown,Large,MediumHigh,MediumHigh,Two-stage detector with a ResNet-50-FPN backbone and region proposal network; generally stronger localization behavior than lightweight one-stage real-time detectors but with higher inference latency and Torchvision detection APIs are beta.,evidence_faster_rcnn_paper|evidence_torchvision_fasterrcnn_docs,
ssd300_vgg16,Model,object_detection,SSD300 VGG16,SSD,SingleShotDetector,true,true,unknown,unknown,Large,Medium,Medium,Single Shot MultiBox Detector with VGG16 backbone and fixed 300x300 input; lower COCO AP than Faster R-CNN/RetinaNet/RT-DETR variants but simpler single-stage architecture and lower GFLOPs. Torchvision detection APIs are beta.,evidence_ssd_paper|evidence_torchvision_ssd_docs,
resnet50,Model,image_classification,ResNet-50,ResNet,ResidualCNNClassifier,true,true,unknown,unknown,Medium,Low,High,"Residual CNN image classifier; TorchVision uses the ResNet V1.5 stride placement variant, and ImageNet-pretrained features can transfer poorly to strongly out-of-domain datasets without validation.",evidence_resnet_paper|evidence_torchvision_resnet50_docs|evidence_pytorch_transfer_learning_tutorial,
mobilenet_v2,Model,image_classification,MobileNet V2,MobileNetV2,MobileInvertedResidualCNN,true,true,unknown,true,Small,VeryLow,Medium,"Lightweight classifier with inverted residuals and linear bottlenecks; TorchVision provides ImageNet-1K V1 and improved V2/DEFAULT weights plus CPU-only INT8 QNNPACK weights. Quantization support describes the upstream model capability; this application's current execution registry supports only floating-point default or uninitialized MobileNet V2. Small/VeryLow/Medium are ontology categories inferred from the published 3.5M parameters, 0.301 GFLOPs, and ImageNet accuracy—not measured latency labels. No latency benchmark is claimed.",evidence_mobilenetv2_paper|evidence_torchvision_mobilenetv2_docs|evidence_torchvision_mobilenetv2_source|evidence_torchvision_mobilenetv2_quantized_docs|evidence_classification_execution_registry,
densenet121,Model,image_classification,DenseNet-121,DenseNet121,DenselyConnectedCNN,true,true,unknown,unknown,Small,Low,Medium,"Dense classifier with extensive feature reuse and 7.98M parameters. Small/Low/Medium are ontology categories inferred from published parameters, 2.834 GFLOPs, and ImageNet accuracy; no measured latency category or quantization-support claim is made.",evidence_densenet_paper|evidence_densenet_author_repo|evidence_torchvision_densenet121_docs|evidence_torchvision_densenet_source,
convnext_tiny,Model,image_classification,ConvNeXt Tiny,ConvNeXtTiny,ModernizedCNNClassifier,true,true,unknown,unknown,Medium,Low,High,"Modernized convolutional classifier with 28.59M parameters and strong ImageNet accuracy. Medium/Low/High are ontology categories inferred from published parameters, 4.456 GFLOPs, and accuracy; no measured latency or quantization-support claim is made.",evidence_convnext_paper|evidence_torchvision_convnext_tiny_docs|evidence_torchvision_convnext_source,
mobilenet_v3_large,Model,image_classification,MobileNetV3 Large,MobileNetV3-Large,EfficientCNNClassifier,true,true,unknown,unknown,Small,VeryLow,MediumHigh,Efficient mobile CNN classifier optimized for low compute; lower ImageNet accuracy ceiling than larger CNN/transformer classifiers.,evidence_mobilenetv3_paper|evidence_torchvision_mobilenetv3_large_docs|evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_mobilenetv3_source,
mobilenet_v3_small,Model,image_classification,MobileNetV3 Small,MobileNetV3-Small,EfficientCNNClassifier,true,true,unknown,unknown,Nano,VeryLow,Medium,Very compact mobile CNN classifier; lower ImageNet accuracy than MobileNetV3 Large and larger classifiers.,evidence_mobilenetv3_paper|evidence_torchvision_mobilenetv3_small_docs|evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_mobilenetv3_source,
efficientnet_b0,Model,image_classification,EfficientNet-B0,EfficientNet,EfficientCNNClassifier,true,true,unknown,unknown,Small,VeryLow,MediumHigh,Compound-scaled EfficientNet baseline; efficient for transfer learning but lower accuracy ceiling than larger B variants.,evidence_efficientnet_paper|evidence_torchvision_efficientnet_docs|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo,
efficientnet_b1,Model,image_classification,EfficientNet-B1,EfficientNet,EfficientCNNClassifier,true,true,unknown,unknown,Small,Low,High,Higher-resolution/scaled EfficientNet variant with more compute than B0; use matching preprocessing resolution for reliable accuracy.,evidence_efficientnet_paper|evidence_torchvision_efficientnet_docs|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo,
efficientnet_b2,Model,image_classification,EfficientNet-B2,EfficientNet,EfficientCNNClassifier,true,true,unknown,unknown,Small,Low,High,Efficient mid-small classifier; higher accuracy and compute than B1.,evidence_efficientnet_paper|evidence_torchvision_efficientnet_docs|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo,
efficientnet_b3,Model,image_classification,EfficientNet-B3,EfficientNet,EfficientCNNClassifier,true,true,unknown,unknown,Medium,Medium,High,Efficient mid-size classifier with stronger ImageNet accuracy but larger crop size and compute than B0-B2.,evidence_efficientnet_paper|evidence_torchvision_efficientnet_docs|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo,
efficientnet_b4,Model,image_classification,EfficientNet-B4,EfficientNet,EfficientCNNClassifier,true,true,unknown,unknown,Medium,MediumHigh,VeryHigh,Higher-accuracy EfficientNet variant; 380px crop and larger compute may constrain low-VRAM fine-tuning.,evidence_efficientnet_paper|evidence_torchvision_efficientnet_docs|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo,
efficientnet_b5,Model,image_classification,EfficientNet-B5,EfficientNet,EfficientCNNClassifier,true,true,unknown,unknown,Large,High,VeryHigh,Large EfficientNet variant with high accuracy but substantial memory and compute requirements at 456px crop.,evidence_efficientnet_paper|evidence_torchvision_efficientnet_docs|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo,
efficientnet_b6,Model,image_classification,EfficientNet-B6,EfficientNet,EfficientCNNClassifier,true,true,unknown,unknown,Large,VeryHigh,VeryHigh,Very large EfficientNet variant; 528px crop and high GFLOPs make fine-tuning hardware-sensitive.,evidence_efficientnet_paper|evidence_torchvision_efficientnet_docs|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo,
efficientnet_b7,Model,image_classification,EfficientNet-B7,EfficientNet,EfficientCNNClassifier,true,true,unknown,unknown,XLarge,VeryHigh,VeryHigh,Highest-accuracy original EfficientNet B variant in TorchVision; 600px crop and high compute can be impractical without strong hardware.,evidence_efficientnet_paper|evidence_torchvision_efficientnet_docs|evidence_pytorch_transfer_learning_tutorial|evidence_tensorflow_tpu_efficientnet_repo,
vit_b_16,Model,image_classification,ViT-B-16,ViT-B-16,VisionTransformerClassifier,true,true,true,unknown,Large,High,VeryHigh,Vision Transformer base model with 16x16 patches; high ImageNet accuracy but attention compute and memory grow with image resolution and fine-tuning may require positional-embedding interpolation when changing resolution.,evidence_vit_paper|evidence_torchvision_vit_b16_docs|evidence_torchvision_vit_source|evidence_swag_repo|evidence_pytorch_transfer_learning_tutorial|evidence_hf_peft_custom_models|evidence_classification_lora_execution,
clip_vit_b16,Model,image_classification,CLIP ViT-B/16,CLIP,ContrastiveVisionLanguageTransformer,true,true,true,unknown,Large,High,VeryHigh,"The executable classification model uses only the OpenAI CLIP ViT-B/16 visual encoder with QuickGELU and replaces its projection with a supervised linear classifier. It does not expose the text encoder or zero-shot prompting; fine-tuning must preserve CLIP preprocessing/statistics.",evidence_clip_paper|evidence_openai_clip_repo|evidence_openai_clip_source|evidence_ft_clip_paper|evidence_ft_clip_repo|evidence_timm_clip_vit_b16|evidence_hf_peft_custom_models|evidence_classification_lora_execution,
swin_v2_t,Model,image_classification,Swin V2 Tiny,SwinV2,HierarchicalWindowTransformerClassifier,true,true,true,unknown,Medium,MediumHigh,High,Swin Transformer V2 tiny image classifier with shifted windows and 256px default crop; lower compute than Swin V2 Small but lower ImageNet accuracy ceiling.,evidence_swin_v2_paper|evidence_torchvision_swin_v2_docs|evidence_torchvision_swin_source|evidence_microsoft_swin_repo|evidence_hf_peft_custom_models|evidence_classification_lora_execution,
swin_v2_s,Model,image_classification,Swin V2 Small,SwinV2,HierarchicalWindowTransformerClassifier,true,true,true,unknown,Large,High,VeryHigh,Swin Transformer V2 small image classifier with shifted windows; stronger ImageNet accuracy than Tiny with higher parameter count and FLOPs.,evidence_swin_v2_paper|evidence_torchvision_swin_v2_docs|evidence_torchvision_swin_source|evidence_microsoft_swin_repo|evidence_hf_peft_custom_models|evidence_classification_lora_execution,
dinov2_vits14,Model,image_classification,DINOv2 ViT-S/14,DINOv2,SelfSupervisedVisionTransformerClassifier,true,true,true,unknown,Medium,MediumHigh,High,"Executable through timm as a 224px supervised classifier with a new linear head; strong frozen-feature transfer at modest parameter count. The official 518px Meta linear-evaluation benchmark remains a separate protocol.",evidence_dinov2_paper|evidence_dinov2_repo|evidence_hf_dinov2_docs|evidence_hf_dinov2_preprocessor|evidence_timm_dinov2_vits14|evidence_hf_peft_custom_models|evidence_classification_lora_execution,
dinov2_vitb14,Model,image_classification,DINOv2 ViT-B/14,DINOv2,SelfSupervisedVisionTransformerClassifier,true,true,true,unknown,Large,High,VeryHigh,"Executable through timm as a 224px supervised classifier with a new linear head; stronger but more resource-intensive than ViT-S/14. The official 518px Meta linear-evaluation benchmark remains a separate protocol.",evidence_dinov2_paper|evidence_dinov2_repo|evidence_hf_dinov2_docs|evidence_hf_dinov2_preprocessor|evidence_timm_dinov2_vitb14|evidence_hf_peft_custom_models|evidence_classification_lora_execution,
dinov2_vitl14,Model,image_classification,DINOv2 ViT-L/14,DINOv2,SelfSupervisedVisionTransformerClassifier,true,true,unknown,unknown,XLarge,VeryHigh,VeryHigh,Large DINOv2 ViT with strong frozen-feature ImageNet results; fine-tuning is memory-sensitive and may require freezing or gradient accumulation.,evidence_dinov2_paper|evidence_dinov2_repo|evidence_hf_dinov2_docs,
dinov2_vitg14,Model,image_classification,DINOv2 ViT-g/14,DINOv2,SelfSupervisedVisionTransformerClassifier,true,true,unknown,unknown,XXLarge,VeryHigh,VeryHigh,"Giant DINOv2 ViT with the strongest official frozen-feature ImageNet accuracy among listed DINOv2 variants, but very high parameter count and compute footprint.",evidence_dinov2_paper|evidence_dinov2_repo|evidence_hf_dinov2_docs,
llava_1_5_7b,Model,visual_question_answering,LLaVA-1.5 7B,LLaVA-1.5,LargeMultimodalAssistant,true,true,true,true,XLarge,High,VeryHigh,"Vicuna-7B based multimodal assistant with CLIP ViT-L/14 336px vision tower and two-layer MLP projector; strong VQA benchmark performance but training/inference are memory-sensitive and hallucinations remain possible.",evidence_llava_1_5_paper|evidence_llava_official_repo,
llava_1_5_13b,Model,visual_question_answering,LLaVA-1.5 13B,LLaVA-1.5,LargeMultimodalAssistant,true,true,true,true,XXLarge,VeryHigh,VeryHigh,"Vicuna-13B based multimodal assistant with CLIP ViT-L/14 336px vision tower and two-layer MLP projector; strongest standard LLaVA-1.5 benchmark row but requires substantial GPU memory for full fine-tuning.",evidence_llava_1_5_paper|evidence_llava_official_repo,
llava_1_5_13b_hd,Model,visual_question_answering,LLaVA-1.5 13B HD,LLaVA-1.5-HD,LargeMultimodalAssistant,true,true,unknown,true,XXLarge,VeryHigh,VeryHigh,"Higher-resolution LLaVA-1.5 variant that splits images into grids and adds global context; improves detail-heavy benchmarks but increases visual-token and memory cost.",evidence_llava_1_5_paper,
qwen2_5_vl_3b,Model,visual_question_answering,Qwen2.5-VL-3B-Instruct,Qwen2.5-VL,NativeDynamicResolutionVLM,true,true,true,true,Large,MediumHigh,High,"Instruction-tuned 3B Qwen vision-language model with dynamic-resolution image/video processing, window-attention ViT, document/OCR strengths, visual localization, and agentic GUI capabilities; accuracy trails larger Qwen2.5-VL variants and depends strongly on visual-token budget.",evidence_qwen2_5_vl_3b_hf|evidence_qwen2_5_vl_report|evidence_qwen_vl_finetune_repo,
Qwen3-VL-2B-Instruct,Model,visual_question_answering,Qwen3-VL-2B-Instruct,Qwen3-VL,NativeDynamicResolutionVLM,true,true,true,true,Medium,Low,High,"Executable 2B Qwen3-VL checkpoint. Medium size, Low relative VQA latency, and High accuracy are ontology categories inferred from its model scale and official family documentation; no checkpoint-specific benchmark or measured latency claim is made here.",evidence_qwen3_vl_repo|evidence_qwen_vl_finetune_repo,
qwen3_6_35b_a3b,Model,visual_question_answering,Qwen3.6-35B-A3B,Qwen3.6,VisionLanguageMoE,true,unknown,unknown,true,XXLarge,VeryHigh,VeryHigh,"Open-weight vision-language MoE model with 35B total and 3B activated parameters, native 262144-token context, strong STEM/document/general VQA benchmarks, and 8-GPU serving guidance; official fine-tuning recipe was not found, and MoE training support should be validated carefully.",evidence_qwen3_6_35b_a3b_hf,
