id,type,dataset_name,aliases,task_ids,dataset_role,description,notes,evidence_ids
cars196_cls_train,Dataset,Cars196 classification train,Stanford Cars train|cars196_cls_train,image_classification,Training,Cars196 classification training split.,196 fine-grained vehicle classes.,evidence_fine_grained_vehicle_eval|evidence_visionkg_dataset_registry
cars196_det_test,Dataset,Cars196 detection test,Stanford Cars detection test|cars196_det_test,object_detection,Test,Cars196 detection test split.,VisionKG vehicle-detection split based on Cars196.,evidence_fine_grained_vehicle_eval|evidence_visionkg_dataset_registry
cifar100_cls_test,Dataset,CIFAR-100 classification test,CIFAR100 test|cifar100_cls_test,image_classification,Test,CIFAR-100 test split.,100-class 32x32 image classification.,evidence_cifar_dataset|evidence_visionkg_dataset_registry
cifar10_cls_test,Dataset,CIFAR-10 classification test,CIFAR10 test|cifar10_cls_test,image_classification,Test,CIFAR-10 test split.,10-class 32x32 image classification.,evidence_cifar_dataset|evidence_visionkg_dataset_registry
cifar10_cls_train,Dataset,CIFAR-10 classification train,CIFAR10 train|cifar10_cls_train,image_classification,Training,CIFAR-10 training split.,10-class 32x32 image classification.,evidence_cifar_dataset|evidence_visionkg_dataset_registry
cityscapes_det_val,Dataset,Cityscapes detection validation,Cityscapes det val|cityscapes_det_val,object_detection,Validation,Cityscapes detection validation split.,Urban street-scene annotations.,evidence_cityscapes_paper|evidence_visionkg_dataset_registry
cityscapes_inseg_val,Dataset,Cityscapes instance segmentation validation,Cityscapes instance val|cityscapes_inseg_val,instance_segmentation,Validation,Cityscapes instance-segmentation validation split.,Urban street-scene annotations.,evidence_cityscapes_paper|evidence_visionkg_dataset_registry
coco2017_det_val,Dataset,COCO 2017 detection validation,COCO val2017|coco2017_det_val,object_detection,Validation,COCO 2017 detection validation split.,Common objects in context.,evidence_coco_paper|evidence_visionkg_dataset_registry
imageNet-1K_cls_train,Dataset,ImageNet-1K classification train,ImageNet train|imageNet-1K_cls_train,image_classification,Training,ImageNet-1K training split.,Large-scale object classification.,evidence_imagenet_paper|evidence_visionkg_dataset_registry
imageNet-1K_cls_val,Dataset,ImageNet-1K classification validation,ImageNet val|imageNet-1K_cls_val,image_classification,Validation,ImageNet-1K validation split.,Large-scale object classification.,evidence_imagenet_paper|evidence_visionkg_dataset_registry
mapillary_v1.2_det_train,Dataset,Mapillary Vistas v1.2 detection train,Mapillary Vistas train|mapillary_v1.2_det_train,object_detection,Training,Mapillary Vistas detection training split.,Street-level scene annotations.,evidence_mapillary_vistas_dataset|evidence_visionkg_dataset_registry
mapillary_v1.2_det_val,Dataset,Mapillary Vistas v1.2 detection validation,Mapillary Vistas val|mapillary_v1.2_det_val,object_detection,Validation,Mapillary Vistas detection validation split.,Street-level scene annotations.,evidence_mapillary_vistas_dataset|evidence_visionkg_dataset_registry
mnist_cls_test,Dataset,MNIST classification test,MNIST test|mnist_cls_test,image_classification,Test,MNIST digit test split.,Handwritten digit recognition.,evidence_mnist_database|evidence_visionkg_dataset_registry
mnist_cls_train,Dataset,MNIST classification train,MNIST train|mnist_cls_train,image_classification,Training,MNIST digit training split.,Handwritten digit recognition.,evidence_mnist_database|evidence_visionkg_dataset_registry
objects365_det_val,Dataset,Objects365 detection validation,Objects365 val|objects365_det_val,object_detection,Validation,Objects365 detection validation split.,365-category object detection.,evidence_objects365_dataset|evidence_visionkg_dataset_registry
openimages_challenge_2019_det_train,Dataset,Open Images Challenge 2019 detection train,Open Images 2019 train|openimages_challenge_2019_det_train,object_detection,Training,Open Images 2019 detection training split.,Open Images detection challenge data.,evidence_openimages_challenge_2019|evidence_visionkg_dataset_registry
voc0712_det_val,Dataset,PASCAL VOC 2007+2012 detection validation,VOC 07+12 val|voc0712_det_val,object_detection,Validation,Combined VOC 2007/2012 detection validation split.,VisionKG split convention.,evidence_pascal_voc_official|evidence_visionkg_dataset_registry
voc07_det_test,Dataset,PASCAL VOC 2007 detection test,VOC2007 test|voc07_det_test,object_detection,Test,VOC 2007 detection test split.,PASCAL VOC detection data.,evidence_pascal_voc_official|evidence_visionkg_dataset_registry
voc07_det_val,Dataset,PASCAL VOC 2007 detection validation,VOC2007 val|voc07_det_val,object_detection,Validation,VOC 2007 detection validation split.,PASCAL VOC detection data.,evidence_pascal_voc_official|evidence_visionkg_dataset_registry
voc12_det_train,Dataset,PASCAL VOC 2012 detection train,VOC2012 train|voc12_det_train,object_detection,Training,VOC 2012 detection training split.,PASCAL VOC detection data.,evidence_pascal_voc_official|evidence_visionkg_dataset_registry
voc12_det_val,Dataset,PASCAL VOC 2012 detection validation,VOC2012 val|voc12_det_val,object_detection,Validation,VOC 2012 detection validation split.,PASCAL VOC detection data.,evidence_pascal_voc_official|evidence_visionkg_dataset_registry
voc12_inseg_train,Dataset,PASCAL VOC 2012 instance segmentation train,VOC2012 segmentation train|voc12_inseg_train,instance_segmentation,Training,VOC 2012 segmentation training split.,PASCAL VOC segmentation data.,evidence_pascal_voc_official|evidence_visionkg_dataset_registry
