id,type,hardware_name,hardware_category,gpu_memory_gb,num_gpus,cpu_only,supports_mixed_precision,supports_quantization,training_allowed,inference_allowed,latency_category,notes,inference_runtime,precision_mode,benchmark_device,evidence_ids
nvidia_resnet50_dgx1_v100_training_benchmark,HardwareProfile,NVIDIA ResNet50 DGX-1 V100 Training Benchmark,DataCenterGPU,16,8,false,true,unknown,true,false,Training,NVIDIA DeepLearningExamples ResNet50 training throughput benchmark on DGX-1 with 8x V100 16GB GPUs in the 21.03 PyTorch NGC container.,Training,MixedPrecision/FP32,NVIDIA DGX-1 8x V100 16GB,evidence_nvidia_resnet50_pytorch
torchvision_mobilenetv3_8x_v100_training,HardwareProfile,Torchvision MobileNetV3 8x V100 Training,DataCenterGPU,,8,false,unknown,unknown,true,false,Training,"Torchvision classification reference states MobileNetV3 Large and Small training command runs with nproc_per_node=8, and default classification references are trained on 8x V100 GPUs except otherwise noted.",Training,unknown,8x NVIDIA V100,evidence_torchvision_classification_reference
torchvision_mobilenetv3_large_v2_8gpu_training,HardwareProfile,Torchvision MobileNetV3 Large V2 8-GPU Training,DataCenterGPU,,8,false,unknown,unknown,true,false,Training,TorchVision issue 3995 publishes the MobileNetV3 Large V2 recipe as a torchrun command with nproc_per_node=8; GPU model is not specified in that source.,Training,unknown,8x GPU unspecified,evidence_torchvision_mobilenetv3_v2_recipe_issue
google_cloud_tpu_efficientnet_training,HardwareProfile,Google Cloud TPU EfficientNet Training,CloudTPU,,0,false,true,unknown,true,false,Training,Official TensorFlow TPU EfficientNet README instructs training on a GCE VM with an associated Cloud TPU resource and GCS model/data directories; TPU generation/count are not fixed in the README.,Training,bfloat16/unknown,Google Cloud TPU,evidence_tensorflow_tpu_efficientnet_repo
torchvision_vit_b16_64gpu_training,HardwareProfile,TorchVision ViT-B-16 64-GPU Training,DataCenterGPU,,64,false,true,unknown,true,false,Training,TorchVision classification reference states ViT-B-16 pretrained weights were generated with 8 nodes each with 8 GPUs and batch_size 64; exact GPU model is not specified in the ViT-B-16 note.,Training,AMP,64x GPU unspecified,evidence_torchvision_classification_reference
ftclip_8x_a100_40gb_training,HardwareProfile,FT-CLIP 8x A100-40GB Fine-tuning,DataCenterGPU,40,8,false,true,unknown,true,false,Training,Official FT-CLIP repository states CLIP-Base/16 can be fine-tuned on ImageNet-1K using 8 NVIDIA A100 40GB GPUs.,Training,DeepSpeed/unknown,8x NVIDIA A100 40GB,evidence_ft_clip_repo
microsoft_swinv2_8gpu_finetune,HardwareProfile,Microsoft Swin V2 8-GPU Fine-tuning,DataCenterGPU,,8,false,true,unknown,true,false,Training,Microsoft Swin get-started guide gives Swin fine-tuning examples with nproc_per_node=8; the specific GPU model is not stated.,Training,unknown,8x GPU unspecified,evidence_microsoft_swin_repo
meta_dinov2_96x_a100_80gb_pretraining,HardwareProfile,Meta DINOv2 96x A100-80GB Pretraining Example,DataCenterGPU,80,96,false,true,unknown,true,false,Training,Official DINOv2 repository gives a ViT-L/14 ImageNet-22K pretraining command using 12 nodes with 8 A100 80GB GPUs per node.,Training,fp16/unknown,96x NVIDIA A100 80GB,evidence_dinov2_repo
meta_dinov2_32x_a100_80gb_short_pretraining,HardwareProfile,Meta DINOv2 32x A100-80GB Short Pretraining Example,DataCenterGPU,80,32,false,true,unknown,true,false,Training,Official DINOv2 repository gives a ViT-L/14 ImageNet-22K short training example using 4 nodes with 8 A100 80GB GPUs per node.,Training,fp16/unknown,32x NVIDIA A100 80GB,evidence_dinov2_repo
meta_dinov2_single_node_eval,HardwareProfile,Meta DINOv2 Single-Node Evaluation,DataCenterGPU,,,false,unknown,unknown,false,true,Evaluation,Official DINOv2 repository runs linear evaluation on a single node; exact GPU model and count are not specified.,Evaluation,unknown,single node GPU unspecified,evidence_dinov2_repo
llava_1_5_8x_a100_80gb_training,HardwareProfile,LLaVA-1.5 8x A100-80GB Training,DataCenterGPU,80,8,false,true,true,true,false,Training,Official LLaVA repository states LLaVA is trained on 8 A100 GPUs with 80GB memory; LLaVA-1.5 paper reports final 13B training finishes in about one day on a single 8-A100 node.,Training,bf16/TF32,8x NVIDIA A100 80GB,evidence_llava_1_5_paper|evidence_llava_official_repo
llava_1_5_7b_8x_a100_40gb_finetune,HardwareProfile,LLaVA-1.5 7B 8x A100-40GB Fine-tuning,DataCenterGPU,40,8,false,true,true,true,false,Training,Official LLaVA repository states visual instruction tuning for LLaVA-1.5-7B takes about 10 hours on 8 A100 40GB GPUs.,Training,bf16/TF32,8x NVIDIA A100 40GB,evidence_llava_official_repo
llava_1_5_lora_low_memory_training,HardwareProfile,LLaVA-1.5 LoRA Low-Memory Training,DataCenterGPU,,8,false,true,true,true,false,Training,Official LLaVA repository reports LoRA fitting 13B training in 8 A100-40GB or 8 RTX A6000 and 7B training in 8 RTX 3090.,Training,bf16/TF32,8x A100 40GB or 8x RTX A6000 or 8x RTX 3090,evidence_llava_official_repo|evidence_llava_lora_script
llava_1_5_4bit_inference_12gb,HardwareProfile,LLaVA-1.5 4-bit Low-VRAM Inference,DataCenterGPU,12,1,false,true,true,false,true,Interactive,Official LLaVA repository states 4-bit or 8-bit quantized inference reduces GPU memory and can run LLaVA-13B with as little as 12GB VRAM; LLaVA-1.5-7B 4-bit CLI inference uses less than 8GB VRAM.,PyTorch/bitsandbytes,4-bit,Single GPU 12GB class,evidence_llava_official_repo
qwen_vl_custom_finetune_unspecified_gpu,HardwareProfile,Qwen VL Custom Fine-tuning GPU,DataCenterGPU,,,false,true,true,true,false,Training,"Official Qwen VL fine-tuning script auto-detects the number of local GPUs with nvidia-smi and uses bf16, DeepSpeed, gradient checkpointing, and optional LoRA; exact GPU model and GPU count are not fixed for the generic recipe.",Training,bf16/DeepSpeed,GPU count auto-detected,evidence_qwen_vl_finetune_repo
qwen2_5_vl_32b_8x80gb_finetune_note,HardwareProfile,Qwen2.5-VL-32B 8x80GB Fine-tuning Note,DataCenterGPU,80,8,false,true,true,true,false,Training,Official Qwen VL fine-tuning notes state that training Qwen2.5-VL-32B requires 8 GPUs with 80GB memory; included as a sizing reference for larger Qwen2.5-VL variants rather than the 3B model.,Training,bf16/DeepSpeed,8x 80GB GPU,evidence_qwen_vl_finetune_repo
qwen3_6_35b_a3b_8gpu_sglang_vllm_inference,HardwareProfile,Qwen3.6-35B-A3B 8-GPU SGLang/vLLM Inference,DataCenterGPU,,8,false,true,true,false,true,Interactive,"Official Qwen3.6 model card gives SGLang and vLLM serving commands with tensor parallel size 8, 262144-token max context, and memory fraction 0.8 for SGLang; exact GPU model is not specified.",SGLang/vLLM,auto/unknown,8x GPU tensor parallel,evidence_qwen3_6_35b_a3b_hf
