id,type,dataset_id,property_id,value,confidence,notes,evidence_ids
char_bdd_val_scale,DatasetCharacteristic,bdd_100k_det_val,ObjectScaleVariation,true,High,Road users occur at varied distances.,evidence_bdd100k_paper
char_cars_train_fine,DatasetCharacteristic,cars196_cls_train,FineGrainedRecognition,true,High,Stanford Cars distinguishes fine-grained vehicle models.,evidence_fine_grained_vehicle_eval
char_cars_test_fine,DatasetCharacteristic,cars196_cls_test,FineGrainedRecognition,true,High,Stanford Cars distinguishes fine-grained vehicle models.,evidence_fine_grained_vehicle_eval
char_cars_det_test_fine,DatasetCharacteristic,cars196_det_test,FineGrainedRecognition,true,Medium,The split derives from fine-grained vehicle data.,evidence_fine_grained_vehicle_eval
char_cifar10_train_lowres,DatasetCharacteristic,cifar10_cls_train,LowResolution,true,High,CIFAR-10 images are 32 by 32 pixels.,evidence_cifar_dataset
char_cifar10_test_lowres,DatasetCharacteristic,cifar10_cls_test,LowResolution,true,High,CIFAR-10 images are 32 by 32 pixels.,evidence_cifar_dataset
char_cifar100_test_lowres,DatasetCharacteristic,cifar100_cls_test,LowResolution,true,High,CIFAR-100 images are 32 by 32 pixels.,evidence_cifar_dataset
char_cityscapes_scale,DatasetCharacteristic,cityscapes_det_val,ObjectScaleVariation,true,High,Urban road users occur at varied distances.,evidence_cityscapes_paper
char_cityscapes_occlusion,DatasetCharacteristic,cityscapes_det_val,FrequentOcclusion,true,Medium,Urban street scenes include occluded road users.,evidence_cityscapes_paper
char_coco_scale,DatasetCharacteristic,coco2017_det_val,ObjectScaleVariation,true,High,COCO explicitly evaluates objects across scale ranges.,evidence_coco_paper
char_coco_occlusion,DatasetCharacteristic,coco2017_det_val,FrequentOcclusion,true,Medium,Objects in context frequently overlap or are partially occluded.,evidence_coco_paper
char_mapillary_train_lighting,DatasetCharacteristic,mapillary_v1.2_det_train,OutdoorLightingVariation,true,High,Global street imagery spans diverse capture and lighting conditions.,evidence_mapillary_vistas_dataset
char_mapillary_train_scale,DatasetCharacteristic,mapillary_v1.2_det_train,ObjectScaleVariation,true,High,Street objects occur at varied distances.,evidence_mapillary_vistas_dataset
char_mapillary_train_occlusion,DatasetCharacteristic,mapillary_v1.2_det_train,FrequentOcclusion,true,Medium,Street scenes include partially occluded objects.,evidence_mapillary_vistas_dataset
char_mapillary_train_aspect,DatasetCharacteristic,mapillary_v1.2_det_train,HighAspectRatioVariance,true,Medium,Crowdsourced imagery uses varied cameras and image shapes.,evidence_mapillary_vistas_dataset
char_mapillary_val_lighting,DatasetCharacteristic,mapillary_v1.2_det_val,OutdoorLightingVariation,true,High,Global street imagery spans diverse capture and lighting conditions.,evidence_mapillary_vistas_dataset
char_mapillary_val_scale,DatasetCharacteristic,mapillary_v1.2_det_val,ObjectScaleVariation,true,High,Street objects occur at varied distances.,evidence_mapillary_vistas_dataset
char_mnist_train_lowres,DatasetCharacteristic,mnist_cls_train,LowResolution,true,High,MNIST images are 28 by 28 pixels.,evidence_mnist_database
char_mnist_train_geometry,DatasetCharacteristic,mnist_cls_train,LabelSensitiveGeometry,true,High,Rotations and flips can alter digit semantics.,evidence_mnist_database
char_mnist_test_lowres,DatasetCharacteristic,mnist_cls_test,LowResolution,true,High,MNIST images are 28 by 28 pixels.,evidence_mnist_database
char_objects365_scale,DatasetCharacteristic,objects365_det_val,ObjectScaleVariation,true,Medium,Broad scene imagery contains objects at varied scales.,evidence_objects365_dataset
char_objects365_crowded,DatasetCharacteristic,objects365_det_val,CrowdedEnvironment,true,Medium,Large scene-centric detection data includes dense object scenes.,evidence_objects365_dataset
char_openimages_imbalance,DatasetCharacteristic,openimages_challenge_2019_det_train,ClassImbalance,true,Medium,Large-vocabulary web imagery has uneven class frequency.,evidence_openimages_challenge_2019
char_openimages_longtail,DatasetCharacteristic,openimages_challenge_2019_det_train,LongTailVocabulary,true,Medium,Open Images covers a broad long-tail vocabulary.,evidence_openimages_challenge_2019
char_openimages_scale,DatasetCharacteristic,openimages_challenge_2019_det_train,ObjectScaleVariation,true,Medium,Web imagery contains objects at varied scales.,evidence_openimages_challenge_2019
char_voc_train_scale,DatasetCharacteristic,voc12_det_train,ObjectScaleVariation,true,Medium,PASCAL VOC objects occur at varied scales.,evidence_pascal_voc_official
char_voc_val_scale,DatasetCharacteristic,voc12_det_val,ObjectScaleVariation,true,Medium,PASCAL VOC objects occur at varied scales.,evidence_pascal_voc_official
char_voc07_val_scale,DatasetCharacteristic,voc07_det_val,ObjectScaleVariation,true,Medium,PASCAL VOC objects occur at varied scales.,evidence_pascal_voc_official
char_voc07_test_scale,DatasetCharacteristic,voc07_det_test,ObjectScaleVariation,true,Medium,PASCAL VOC objects occur at varied scales.,evidence_pascal_voc_official
